Product Name,Brand,Product Type,Product Code,Product Details,Category,Lowest Price,Highest Price,10ml Price,15ml Price,30ml Price,50ml Price,60ml Price,75ml Price,90ml Price,100ml Price,125ml Price,150ml Price,200ml Price,400ml Price,800ml Price
Good Girl Blush Elixir Eau de Parfum,Carolina Herrera,Eau de Parfum,165595,Floral fragrance for women,Women's Perfume,€65.00,€120.00,No Pricing data,No Pricing data,€65.00,€85.00,No Pricing data,No Pricing data,No Pricing data,€120.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Black Opium Glitter Eau de Parfum,Yves Saint Laurent,Eau de Parfum,164985,"Gourmand fragrance with coffee floral accord and marshmallow musk. Notes: Pear Accord, Mandarin Essence, Lemon Essence, Orange Blossom Absolute, Jasmine Absolute, Moroccan Orange Blossom, Coffee Accord, Bourbon Vanilla Infusion, Patchouli Heart, Musked Marshmallow Accord",Women's Perfume,€70.00,€130.00,No Pricing data,No Pricing data,€70.00,€95.00,No Pricing data,No Pricing data,No Pricing data,€130.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Aqua Allegoria Rosa Verde Eau de Toilette,Guerlain,Eau de Toilette,166001,Floral fragrance from the Aqua Allegoria collection,Women's Perfume,€62.00,€92.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,€62.00,No Pricing data,€92.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Alien Extraintense Eau de Parfum Rechargeable,Mugler,Eau de Parfum,164982,"Floral vanilla fragrance with powerful and gourmand trail. Features three extra-intense revelations with exceptional ingredients: creamy vanilla accord, jasmine grandiflorum superinfusion amplified by tuberose, and Cashmeran woody amber. Available in rechargeable 30ml, 60ml and 90ml formats.",Women's Perfume,€75.00,€130.00,No Pricing data,No Pricing data,€75.00,No Pricing data,€95.00,No Pricing data,€130.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
L'Eau d'Issey Eau de Parfum Intense,Issey Miyake,Eau de Parfum,164643,Intense version of the iconic L'Eau d'Issey fragrance,Women's Perfume,€65.00,€110.00,No Pricing data,No Pricing data,No Pricing data,€65.00,No Pricing data,No Pricing data,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Zadig Eau de Parfum,Zadig & Voltaire,Eau de Parfum,164717,Modern fragrance for women,Women's Perfume,€55.00,€95.00,No Pricing data,No Pricing data,€55.00,€75.00,No Pricing data,No Pricing data,No Pricing data,€95.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Libre L'Eau Nue Parfum de Peau pour Femme,Yves Saint Laurent,Parfum de Peau,166481,Lighter version of the Libre fragrance line,Women's Perfume,€70.00,€120.00,No Pricing data,No Pricing data,€70.00,€95.00,No Pricing data,No Pricing data,No Pricing data,€120.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
For Her Eau de Parfum Intense,Narciso Rodriguez,Eau de Parfum,164668,Intense version of the iconic For Her fragrance,Women's Perfume,€60.00,€110.00,No Pricing data,No Pricing data,€60.00,€85.00,No Pricing data,No Pricing data,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Ella Ella Eau de Parfum,Armani,Eau de Parfum,164967,Modern feminine fragrance,Women's Perfume,€65.00,€115.00,No Pricing data,No Pricing data,€65.00,€90.00,No Pricing data,No Pricing data,No Pricing data,€115.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Valentino Born In Roma Donna Parfum pour Elle Floral Ambré,Valentino,Parfum,165002,Floral amber fragrance for women,Women's Perfume,€75.00,€125.00,No Pricing data,No Pricing data,€75.00,€100.00,No Pricing data,No Pricing data,No Pricing data,€125.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Star Chérie Eau de Parfum,Mugler,Eau de Parfum,165176,Sweet gourmand fragrance from the Star collection,Women's Perfume,€70.00,€120.00,No Pricing data,No Pricing data,€70.00,€95.00,No Pricing data,No Pricing data,No Pricing data,€120.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Burberry Her Eau de Parfum Intense,Burberry,Eau de Parfum,166381,Intense version of Burberry Her fragrance,Women's Perfume,€65.00,€110.00,No Pricing data,No Pricing data,€65.00,€85.00,No Pricing data,No Pricing data,No Pricing data,€110.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Nomade Lumière d'Egypte Eau de Parfum,Chloé,Eau de Parfum,166384,Oriental fragrance inspired by Egypt,Women's Perfume,€70.00,€120.00,No Pricing data,No Pricing data,€70.00,€95.00,No Pricing data,No Pricing data,No Pricing data,€120.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Eladaria Eau de Parfum,Penhaligon's,Eau de Parfum,167097,Exclusive niche fragrance,Unisex Perfume,€150.00,€220.00,No Pricing data,No Pricing data,No Pricing data,€150.00,No Pricing data,€185.00,No Pricing data,€220.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Bois Impérial Eau de Parfum Rechargeable,Essential Parfums,Eau de Parfum,163404,Woody fragrance in rechargeable bottle,Unisex Perfume,€85.00,€145.00,No Pricing data,No Pricing data,No Pricing data,€85.00,No Pricing data,No Pricing data,No Pricing data,€145.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Cologne Cédrat Eau de Parfum,Atelier des Ors,Eau de Parfum,164487,Citrus-based cologne-style fragrance,Unisex Perfume,€160.00,€230.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,€160.00,No Pricing data,No Pricing data,€230.00,No Pricing data,No Pricing data
Crystal Saffron Extrait de Parfum,Maison Crivelli,Extrait de Parfum,164498,Luxury fragrance featuring saffron notes,Unisex Perfume,€175.00,€250.00,No Pricing data,No Pricing data,€175.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,€250.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Blamage Extrait de Parfum,Nasomatto,Extrait de Parfum,164519,Experimental niche fragrance,Unisex Perfume,€165.00,€165.00,No Pricing data,No Pricing data,€165.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Megamare Extrait de Parfum,Orto Parisi,Extrait de Parfum,164958,Marine-inspired niche fragrance,Unisex Perfume,€170.00,€170.00,No Pricing data,No Pricing data,€170.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Neroli Botanica Eau de Parfum Rechargeable,Essential Parfums,Eau de Parfum,163407,"Neroli-based fragrance created by Anne Flipo, in rechargeable bottle",Unisex Perfume,€85.00,€145.00,No Pricing data,No Pricing data,No Pricing data,€85.00,No Pricing data,No Pricing data,No Pricing data,€145.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Bois d'Ebène Eau de Parfum,Atelier des Ors,Eau de Parfum,164490,Woody fragrance featuring ebony wood notes,Unisex Perfume,€160.00,€230.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,€160.00,No Pricing data,No Pricing data,€230.00,No Pricing data,No Pricing data
Narcotic V Extrait de Parfum,Nasomatto,Extrait de Parfum,164516,Intense floral niche fragrance,Women's Perfume,€165.00,€165.00,No Pricing data,No Pricing data,€165.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
Chrome Eau de Toilette,Azzaro,Eau de Toilette,5913,Fresh aromatic fragrance for men,Men's Perfume,€27.65,€76.49,No Pricing data,No Pricing data,€27.65,€40.58,No Pricing data,No Pricing data,No Pricing data,€55.92,No Pricing data,No Pricing data,€76.49,No Pricing data,No Pricing data
4711 Original Eau de Cologne,4711,Eau de Cologne,45,"Classic citrus cologne formula with notes of lemon, bergamot, petitgrain, and orange",Unisex Perfume,€20.29,€54.52,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data,€23.62,€20.29,No Pricing data,No Pricing data,€36.93,€30.14,€54.52
Drakkar Noir Eau de Toilette,Guy Laroche,Eau de Toilette,768,Classic aromatic fougere fragrance for men,Men's Perfume,€16.00,€45.00,No Pricing data,No Pricing data,€16.00,€30.00,No Pricing data,No Pricing data,No Pricing data,€45.00,No Pricing data,No Pricing data,No Pricing data,No Pricing data,No Pricing data
